Feature1,Feature2,Spearman_r
_STATE,_STSTR,0.999673
FMONTH,IDATE,0.861988
FMONTH,IMONTH,0.866452
IDATE,IMONTH,0.996469
DISPCODE,_MISFRTN,0.565302
DISPCODE,_MISVEGN,0.593889
DISPCODE,_FRTRESP,-0.552578
DISPCODE,_VEGRESP,-0.575465
DISPCODE,_FRUITEX,0.551776
DISPCODE,_VEGETEX,0.575077
DISPCODE,PAMISS1_,0.616212
DISPCODE,_RFSEAT2,0.642931
DISPCODE,_RFSEAT3,0.554213
SEQNO,_PSU,1.000000
SEQNO,PVTRESD1,0.601655
SEQNO,PVTRESD2,-0.594960
SEQNO,CSTATE,-0.602675
SEQNO,NUMHHOL2,-0.530995
SEQNO,QSTVER,0.683093
_PSU,PVTRESD1,0.601655
_PSU,PVTRESD2,-0.594960
_PSU,CSTATE,-0.602675
_PSU,NUMHHOL2,-0.530995
_PSU,QSTVER,0.683093
PVTRESD1,NUMWOMEN,-0.707878
PVTRESD1,PVTRESD2,-0.987209
PVTRESD1,CSTATE,-0.857437
PVTRESD1,NUMHHOL2,-0.876934
PVTRESD1,CPDEMO1,0.582670
PVTRESD1,QSTVER,0.882455
PVTRESD1,_STRWT,0.597044
PVTRESD1,_RAWRAKE,-0.609872
PVTRESD1,_DUALUSE,0.686676
PVTRESD1,_DUALCOR,-0.601012
NUMADULT,NUMMEN,0.731710
NUMADULT,_RAWRAKE,0.876666
NUMMEN,_RAWRAKE,0.735456
NUMWOMEN,PVTRESD2,0.699210
NUMWOMEN,CSTATE,0.607290
NUMWOMEN,NUMHHOL2,0.615402
NUMWOMEN,QSTVER,-0.622560
NUMWOMEN,_RAWRAKE,0.695869
NUMWOMEN,_DUALUSE,-0.524910
CADULT,SEX,0.648510
PVTRESD2,CSTATE,0.849614
PVTRESD2,NUMHHOL2,0.866385
PVTRESD2,CPDEMO1,-0.575568
PVTRESD2,QSTVER,-0.872018
PVTRESD2,_STRWT,-0.590152
PVTRESD2,_RAWRAKE,0.602608
PVTRESD2,_DUALUSE,-0.676764
PVTRESD2,_DUALCOR,0.595623
CSTATE,NUMHHOL2,0.752495
CSTATE,QSTVER,-0.784745
CSTATE,_RAWRAKE,0.523384
CSTATE,_DUALUSE,-0.574974
CSTATE,_DUALCOR,0.531824
GENHLTH,_RFHLTH,0.701172
CHECKUP1,CHOLCHK,0.516536
BPHIGH4,BPMEDS,0.651071
BPHIGH4,_RFHYPE5,-0.965066
BPMEDS,_RFHYPE5,-0.652892
BLOODCHO,_CHOLCHK,0.862839
CHOLCHK,_CHOLCHK,0.551967
TOLDHI2,_RFCHOL,-0.944679
ASTHMA3,_LTASTH1,-0.949459
ASTHMA3,_CASTHM1,-0.765852
ASTHMA3,_ASTHMS1,0.937838
ASTHNOW,_CASTHM1,-0.758492
HAVARTH3,_DRDXAR1,0.977566
HAVARTH3,_LMTACT1,0.787742
HAVARTH3,_LMTWRK1,0.755367
HAVARTH3,_LMTSCL1,0.787982
SEX,HEIGHT3,-0.658838
SEX,HTIN4,-0.710716
SEX,HTM4,-0.710333
EDUCA,_EDUCAG,0.999830
NUMHHOL2,QSTVER,-0.775878
NUMHHOL2,_STRWT,-0.530073
